iter	Passed	Remaining
407	5519	28299
408	5531	28279
409	5543	28257
410	5568	28301
411	5575	28255
412	5589	28246
413	5599	28214
414	5612	28198
415	5637	28240
416	5645	28199
417	5655	28167
418	5666	28143
419	5677	28117
420	5702	28159
421	5708	28111
422	5720	28090
423	5730	28057
424	5744	28048
425	5769	28088
426	5781	28067
427	5791	28037
428	5799	27997
429	5810	27969
430	5835	28012
431	5842	27966
432	5856	27954
433	5864	27919
434	5872	27879
435	5899	27930
436	5908	27894
437	5919	27866
438	5931	27846
439	5946	27840
440	5970	27874
441	5982	27856
442	5994	27835
443	6002	27793
444	6014	27776
445	6042	27829
446	6051	27791
447	6060	27759
448	6071	27734
449	6084	27717
450	6111	27764
451	6119	27727
452	6129	27696
453	6139	27669
454	6151	27646
455	6176	27685
456	6188	27665
457	6195	27622
458	6209	27610
459	6218	27577
460	6241	27605
461	6251	27578
462	6259	27538
463	6270	27513
464	6280	27486
465	6311	27548
466	6318	27507
467	6329	27481
468	6339	27451
469	6348	27421
470	6371	27448
471	6377	27400
472	6388	27378
473	6401	27360
474	6409	27323
475	6433	27355
476	6442	27322
477	6451	27290
478	6460	27257
479	6472	27238
480	6495	27263
481	6509	27254
482	6518	27222
483	6529	27196
484	6538	27165
485	6563	27197
486	6574	27174
487	6582	27137
488	6592	27113
489	6602	27084
490	6626	27113
491	6638	27093
492	6648	27066
493	6657	27034
494	6667	27005
495	6696	27054
496	6703	27016
497	6714	26990
498	6723	26961
499	6739	26958
500	6764	26990
501	6777	26974
502	6786	26943
503	6802	26941
504	6816	26928
505	6844	26974
506	6857	26957
507	6864	26917
508	6874	26890
509	6887	26873
510	6912	26906
511	6920	26870
512	6937	26869
513	6947	26845
514	6955	26807
515	6983	26850
516	6989	26810
517	7001	26787
518	7009	26756
519	7020	26732
520	7045	26760
521	7059	26751
522	7072	26734
523	7078	26692
524	7093	26686
525	7117	26709
526	7128	26687
527	7136	26654
528	7151	26646
529	7159	26612
530	7184	26639
531	7196	26621
532	7210	26608
533	7220	26585
534	7228	26551
535	7251	26569
536	7264	26553
537	7274	26529
538	7284	26504
539	7297	26486
540	7322	26514
541	7335	26498
542	7345	26474
543	7353	26440
544	7369	26434
545	7396	26469
546	7406	26445
547	7414	26412
548	7427	26394
549	7439	26377
550	7460	26388
551	7467	26353
552	7481	26342
553	7490	26312
554	7503	26296
555	7533	26339
556	7540	26302
557	7555	26294
558	7561	26256
559	7577	26250
560	7600	26268
561	7611	26248
562	7623	26228
563	7632	26200
564	7646	26187
565	7672	26215
566	7683	26193
567	7693	26168
568	7702	26138
569	7712	26113
570	7738	26142
571	7748	26116
572	7760	26097
573	7770	26072
574	7783	26058
575	7811	26091
576	7817	26052
577	7828	26030
578	7840	26012
579	7853	25997
580	7874	26009
581	7883	25981
582	7899	25975
583	7907	25943
584	7922	25934
585	7948	25960
586	7957	25931
587	7970	25919
588	7979	25888
589	7991	25871
590	8015	25891
591	8025	25864
592	8035	25839
593	8045	25815
594	8056	25794
595	8082	25819
596	8092	25797
597	8100	25764
598	8109	25737
599	8123	25723
600	8146	25740
601	8158	25722
602	8166	25690
603	8175	25664
604	8184	25636
605	8210	25660
606	8220	25637
607	8228	25605
608	8239	25585
609	8250	25561
610	8273	25578
611	8285	25561
612	8293	25529
613	8302	25500
614	8314	25483
615	8340	25509
616	8352	25490
617	8359	25456
618	8370	25434
619	8382	25417
620	8404	25428
621	8413	25402
622	8424	25380
623	8433	25355
624	8447	25343
625	8469	25353
626	8477	25325
627	8489	25305
628	8501	25289
629	8510	25261
630	8536	25285
631	8546	25259
632	8556	25237
633	8566	25213
634	8575	25186
635	8598	25201
636	8607	25174
637	8616	25148
638	8630	25136
639	8642	25117
640	8664	25127
641	8675	25108
642	8685	25083
643	8694	25058
644	8705	25038
645	8735	25069
646	8746	25050
647	8754	25020
648	8767	25006
649	8780	24989
650	8799	24992
651	8809	24968
652	8819	24946
653	8833	24934
654	8845	24915
655	8871	24938
656	8883	24918
657	8895	24901
658	8903	24873
659	8914	24852
660	8938	24868
661	8946	24838
662	8960	24828
663	8968	24799
664	8977	24773
665	9003	24794
666	9011	24765
667	9024	24749
668	9033	24723
669	9043	24701
670	9070	24723
671	9079	24698
672	9089	24675
673	9099	24652
674	9110	24632
675	9134	24647
676	9144	24623
677	9155	24604
678	9168	24588
679	9174	24554
680	9199	24571
681	9212	24558
682	9223	24538
683	9237	24524
684	9243	24492
685	9270	24514
686	9276	24481
687	9289	24466
688	9298	24439
689	9308	24416
690	9334	24438
691	9344	24413
692	9354	24393
693	9363	24366
694	9373	24345
695	9396	24354
696	9403	24325
697	9417	24312
698	9423	24280
699	9434	24260
700	9457	24271
701	9464	24241
702	9474	24218
703	9483	24193
704	9493	24172
705	9516	24181
706	9524	24155
707	9537	24139
708	9547	24119
709	9557	24095
710	9583	24114
711	9595	24096
712	9602	24066
713	9613	24048
714	9624	24026
715	9648	24039
716	9657	24015
717	9672	24006
718	9681	23980
719	9691	23958
720	9719	23981
721	9727	23955
722	9740	23939
723	9750	23918
724	9760	23895
725	9786	23914
726	9799	23898
727	9811	23880
728	9817	23849
729	9830	23834
730	9852	23842
731	9861	23819
732	9873	23802
733	9881	23774
734	9895	23762
735	9922	23780
736	9929	23753
737	9940	23734
738	9951	23714
739	9965	23701
740	9990	23715
741	9999	23691
742	10007	23664
743	10018	23644
744	10031	23630
745	10056	23644
746	10068	23627
747	10075	23599
748	10091	23591
749	10101	23570
750	10126	23582
751	10139	23567
752	10150	23550
753	10163	23535
754	10175	23519
755	10195	23519
756	10209	23507
757	10215	23477
758	10224	23453
759	10234	23431
760	10259	23445
761	10268	23420
762	10277	23398
763	10292	23387
764	10305	23371
765	10328	23380
766	10340	23362
767	10349	23339
768	10363	23328
769	10371	23301
770	10394	23311
771	10401	23282
772	10416	23273
773	10427	23252
774	10436	23230
775	10464	23248
776	10476	23231
777	10484	23205
778	10499	23194
779	10507	23169
780	10532	23182
781	10545	23166
782	10552	23140
783	10561	23116
784	10572	23097
785	10598	23111
786	10608	23091
787	10617	23067
788	10628	23049
789	10641	23033
790	10662	23036
791	10673	23017
