iter	R2	RMSE
905	0.6859215071	14.98917779
910	0.6864095529	14.97753575
915	0.6867640937	14.96905904
920	0.6871820387	14.95907127
925	0.6875654766	14.94989991
930	0.6879052904	14.94176345
935	0.688290439	14.93255734
940	0.6887048299	14.92261311
945	0.6892333354	14.90994318
950	0.6895936175	14.90130651
955	0.6900492619	14.89036229
960	0.6903970909	14.88200792
965	0.6907559473	14.87337861
970	0.6912162306	14.86229583
975	0.6915831217	14.85346744
980	0.6919931007	14.84358135
985	0.6923442895	14.8351297
990	0.6927161484	14.82615981
995	0.6930056039	14.81916831
1000	0.6934666681	14.80804304
1005	0.6937633923	14.80086237
1010	0.694160392	14.79127696
1015	0.6945618926	14.78156412
1020	0.6948424984	14.77477352
1025	0.6951347154	14.76770506
1030	0.6954923139	14.75903718
1035	0.6958901384	14.74938859
1040	0.6962220321	14.74133631
1045	0.6965675159	14.73295727
1050	0.6969106413	14.72462046
1055	0.6972211024	14.71707445
1060	0.6975651895	14.70871059
1065	0.6979485108	14.69939076
1070	0.6983900449	14.68864267
1075	0.6986871961	14.68140425
1080	0.6990109565	14.67351171
1085	0.6992384656	14.66795984
1090	0.699656784	14.65776626
1095	0.699997799	14.64943842
1100	0.7003086491	14.64184978
1105	0.7006851944	14.63264739
1110	0.7011262464	14.62187228
1115	0.7014061576	14.61501722
1120	0.701850071	14.60414537
1125	0.7021226476	14.59747096
1130	0.7025308756	14.58747052
1135	0.7027807456	14.58132939
1140	0.7030468921	14.57479023
1145	0.7033864298	14.56646637
1150	0.7036830456	14.55918804
1155	0.70394692	14.55269364
1160	0.704301072	14.54399213
1165	0.7045940357	14.53678733
1170	0.7048314958	14.53093793
1175	0.705111056	14.52406997
1180	0.7054278525	14.51625253
1185	0.7058157216	14.50669405
1190	0.7061924074	14.49740391
1195	0.7064706716	14.49054426
1200	0.7067300056	14.48413558
1205	0.7070273142	14.47679032
1210	0.7072944515	14.47019082
1215	0.7076054781	14.46249567
1220	0.7078736955	14.45586931
1225	0.70816721	14.44860744
1230	0.7084669154	14.4411824
1235	0.7087525185	14.43410623
1240	0.7090574462	14.42653969
1245	0.7093710962	14.41876996
1250	0.7096807123	14.41108288
1255	0.7100477173	14.40197131
1260	0.7103680655	14.39402104
1265	0.7106654177	14.38662055
1270	0.7109778671	14.37885167
1275	0.711332965	14.37002444
1280	0.7116708271	14.36161161
1285	0.7118675955	14.35670971
1290	0.7121145693	14.35055505
1295	0.712336814	14.34501498
1300	0.7126716649	14.33666153
1305	0.7129441738	14.32986386
1310	0.7131889059	14.3237559
1315	0.7134605134	14.31696601
1320	0.7137636863	14.3093925
1325	0.7140532432	14.30215171
1330	0.7142904209	14.29622023
1335	0.7145117309	14.29068099
1340	0.7147074813	14.28577798
1345	0.7149093181	14.28071796
1350	0.7151720807	14.27413937
1355	0.7153705224	14.26916424
1360	0.7156455789	14.26227724
1365	0.7159536692	14.25455165
1370	0.7162786385	14.24638537
1375	0.7165655132	14.23918044
1380	0.7167735372	14.23396066
1385	0.7170284272	14.22755035
1390	0.7172552821	14.22184638
1395	0.7175210192	14.21515986
1400	0.7178366295	14.20723116
1405	0.7180789854	14.20112253
1410	0.7183155683	14.19516019
1415	0.7185892179	14.188266
1420	0.7188421082	14.18188316
1425	0.7190369287	14.17697261
1430	0.7192322107	14.17204364
1435	0.7194627295	14.16622833
1440	0.7197033042	14.16014887
1445	0.7200283282	14.15193749
1450	0.7203039707	14.14497732
1455	0.7205156144	14.13960746
1460	0.7207861514	14.13276665
1465	0.7210386927	14.12637283
1470	0.7212249361	14.12165779
1475	0.7214108155	14.11695059
1480	0.721607143	14.11197647
1485	0.7218361864	14.10616395
1490	0.7220584708	14.10053459
1495	0.7224015863	14.09182834
1500	0.7225832137	14.08721413
1505	0.7228334898	14.08085482
1510	0.7230000613	14.07661616
1515	0.7232346868	14.07067046
1520	0.7234781551	14.06447622
1525	0.7237421597	14.05776138
1530	0.7240184931	14.05073095
1535	0.7242785522	14.04410538
1540	0.7244988235	14.03849367
1545	0.7247601134	14.03182855
1550	0.7249505538	14.02698036
1555	0.7251940141	14.02077561
1560	0.7254028628	14.01544271
1565	0.7257066205	14.00768385
1570	0.7259397967	14.00172512
1575	0.7261526908	13.996303
1580	0.7262972422	13.99259766
1585	0.726456901	13.9885132
1590	0.7268184571	13.97926997
1595	0.7270769386	13.97265054
1600	0.7272814528	13.96741803
1605	0.7275208253	13.96128188
1610	0.7278059328	13.95398341
1615	0.7279853533	13.94937593
1620	0.7281830926	13.94431552
1625	0.7283834878	13.93917031
1630	0.7286422058	13.93252571
1635	0.7288523727	13.92713042
1640	0.7291158112	13.92036294
1645	0.7293217671	13.91507126
1650	0.7295484453	13.9092446
1655	0.7297625831	13.90373597
1660	0.7299327882	13.89936213
1665	0.7301362719	13.8941143
1670	0.7303388438	13.88890408
1675	0.7305182613	13.88427909
1680	0.7306818317	13.88007397
1685	0.7309545429	13.87303276
1690	0.7311543789	13.86788434
1695	0.7314180046	13.86108178
1700	0.7315833752	13.85681626
1705	0.7317541963	13.85240639
1710	0.7319168628	13.84819912
1715	0.7320865181	13.84381869
1720	0.732345773	13.83712351
1725	0.7325555445	13.83169718
1730	0.7328051431	13.82523543
1735	0.7329799703	13.82072289
1740	0.7331456096	13.81643736
1745	0.7333271363	13.81174143
1750	0.733518054	13.80679125
1755	0.7336591877	13.80313736
1760	0.7339034507	13.79680447
1765	0.7341090365	13.79146744
1770	0.734278767	13.78706899
1775	0.7344673919	13.78216772
1780	0.7346390624	13.77771057
1785	0.7348075564	13.77334489
1790	0.7350114036	13.76804283
1795	0.7351560264	13.76429257
1800	0.7353489714	13.75927709
1805	0.7354941668	13.75550721
1810	0.7356703624	13.75091871
1815	0.7358380885	13.74655762
1820	0.7360601624	13.74077059
1825	0.7362252466	13.73647529
1830	0.736473541	13.73001706
1835	0.7366813243	13.72458983
1840	0.7368567631	13.7200276
1845	0.7370334984	13.71541133
1850	0.7371981789	13.71111639
1855	0.7373677595	13.70670322
1860	0.737568553	13.70145425
1865	0.7377834428	13.69584612
1870	0.7379728566	13.6908928
1875	0.7381482859	13.68631173
1880	0.7383046808	13.68222659
1885	0.7385264956	13.67642273
1890	0.7387399602	13.67084247
1895	0.7389873379	13.6643664
1900	0.739176698	13.65941555
1905	0.7393651575	13.65447748
1910	0.7395097693	13.65068352
1915	0.7397119119	13.64538174
1920	0.739924334	13.63982214
1925	0.740117673	13.63474974
1930	0.7403136084	13.6296066
1935	0.7404647137	13.62563666
1940	0.7405954388	13.62220907
1945	0.7407716219	13.61758261
1950	0.7409509604	13.61287519
1955	0.7411470928	13.60771752
1960	0.741333322	13.60283037
1965	0.7414809509	13.59894114
1970	0.741642517	13.5946882
1975	0.7418609881	13.58894043
1980	0.7420452192	13.5840912
1985	0.7422555032	13.57856514
1990	0.742423045	13.574141
1995	0.7425490711	13.57082056
2000	0.7427179069	13.56636804
2005	0.742883586	13.56198955
2010	0.7430580746	13.55739428
2015	0.7432601716	13.55205461
2020	0.7434773708	13.54632864
2025	0.7436857927	13.54082428
2030	0.7438882173	13.53547806
2035	0.7440160673	13.532104
2040	0.7441958983	13.527336
2045	0.7444003143	13.52194028
2050	0.7445999226	13.51665814
2055	0.7447732123	13.51207552
2060	0.7449373269	13.50772435
2065	0.7450993719	13.50344338
2070	0.7452454624	13.49955782
2075	0.7454468534	13.49422968
2080	0.7456379802	13.48916227
2085	0.7458505474	13.48352419
2090	0.7460616739	13.47791893
2095	0.7462389001	13.47321618
2100	0.7464073846	13.46875111
2105	0.7466170678	13.46316293
2110	0.7467942306	13.458467
2115	0.7469272627	13.4549306
2120	0.7471008065	13.45031708
2125	0.7472955846	13.44513794
2130	0.7474280792	13.44161072
2135	0.7476142593	13.43665752
2140	0.7478207862	13.43115127
2145	0.7479821199	13.42686213
2150	0.7481740228	13.42175374
2155	0.7483533557	13.41696208
2160	0.7484771656	13.41366491
2165	0.7486206855	13.40984382
2170	0.7487599833	13.40612135
2175	0.7489653525	13.40064217
2180	0.7491443829	13.39586418
2185	0.7493274039	13.39097688
2190	0.7495095577	13.38611187
2195	0.7496543935	13.38222908
2200	0.7497731577	13.37906365
2205	0.7499728299	13.37372932
2210	0.7501949201	13.36778514
2215	0.7503634678	13.36327136
2220	0.7505273615	13.35889017
2225	0.7506712572	13.3550236
2230	0.7508147147	13.35118928
2235	0.7510017438	13.34617765
2240	0.751129141	13.34275785
2245	0.7512628116	13.33918011
2250	0.7514141831	13.33511375
2255	0.7515702147	13.33093522
2260	0.7517267069	13.32673261
2265	0.7518699998	13.32289086
2270	0.7520284655	13.31863447
2275	0.7521610229	13.3150773
2280	0.7522914791	13.31156903
2285	0.7524873273	13.30630454
2290	0.7526629554	13.30158888
2295	0.7528157602	13.29747181
2300	0.7529901844	13.29278511
2305	0.753151845	13.28843204
2310	0.7532758131	13.28510012
2315	0.7534105981	13.28146474
2320	0.7535847371	13.27677452
2325	0.753718756	13.27316543
2330	0.7538921518	13.26849157
2335	0.7540357921	13.26461508
2340	0.7541967791	13.26027422
2345	0.7543538447	13.25603991
2350	0.7545170679	13.25163686
2355	0.7547093354	13.24644302
2360	0.7548307231	13.2431621
2365	0.7549527226	13.23986389
2370	0.7551313797	13.23504004
2375	0.7552747341	13.23117381
2380	0.7554077952	13.22757234
2385	0.7555482953	13.22376917
2390	0.7557296396	13.21886772
2395	0.7558556142	13.21545873
2400	0.7560212657	13.21096968
2405	0.7562112472	13.20582373
2410	0.7563884537	13.20102908
2415	0.7565376399	13.19698409
2420	0.7567077059	13.19237091
2425	0.756846644	13.1886043
2430	0.7569857171	13.18482727
2435	0.757137166	13.18072265
2440	0.7572735933	13.17702753
2445	0.7574051666	13.17345012
2450	0.7575431126	13.16971049
2455	0.7576952445	13.16557163
2460	0.757801464	13.16268611
2465	0.7579396344	13.1589355
2470	0.7581274634	13.15382757
2475	0.7582923594	13.14933478
2480	0.7584412256	13.14529407
2485	0.7585498372	13.14233486
2490	0.7586789727	13.13881726
2495	0.7588518136	13.13411219
2499	0.7589563064	13.13126741
